fips,name,state,japanese_pop,total_pop,japanese_pct
13101,"Echols County","Georgia",0,3709,0
18167,"Vigo County","Indiana",90,106109,0.08
23031,"York County","Maine",292,216731,0.13
27031,"Cook County","Minnesota",0,5635,0
38013,"Burke County","North Dakota",2,2156,0.09
38077,"Richland County","North Dakota",39,16584,0.24
08089,"Otero County","Colorado",17,18321,0.09
02240,"Southeast Fairbanks Census Area","Alaska",27,7068,0.38
05079,"Lincoln County","Arkansas",0,12950,0
13315,"Wilcox County","Georgia",0,8798,0
17147,"Piatt County","Illinois",3,16695,0.02
18041,"Fayette County","Indiana",0,23334,0
19135,"Monroe County","Iowa",0,7513,0
28057,"Itawamba County","Mississippi",0,24036,0
19195,"Worth County","Iowa",16,7350,0.22
36109,"Tompkins County","New York",670,104537,0.64
38103,"Wells County","North Dakota",0,3890,0
47177,"Warren County","Tennessee",10,42166,0.02
48067,"Cass County","Texas",10,28568,0.04
51690,"Martinsville city","Virginia",0,13658,0
51720,"Norton city","Virginia",0,3577,0
72101,"Morovis Municipio","Puerto Rico",0,28397,0
48239,"Jackson County","Texas",0,15152,0
20077,"Harper County","Kansas",0,5400,0
01027,"Clay County","Alabama",0,14192,0
20147,"Phillips County","Kansas",0,4813,0
37165,"Scotland County","North Carolina",7,33590,0.02
48295,"Lipscomb County","Texas",0,2918,0
02220,"Sitka City and Borough","Alaska",63,8368,0.75
13233,"Polk County","Georgia",32,43785,0.07
18053,"Grant County","Indiana",36,66295,0.05
18113,"Noble County","Indiana",30,47495,0.06
19021,"Buena Vista County","Iowa",14,20753,0.07
26025,"Calhoun County","Michigan",336,133778,0.25
29159,"Pettis County","Missouri",15,43397,0.03
31185,"York County","Nebraska",74,14286,0.52
39149,"Shelby County","Ohio",135,47929,0.28
45087,"Union County","South Carolina",9,26885,0.03
31011,"Boone County","Nebraska",0,5356,0
50009,"Essex County","Vermont",8,5982,0.13
55005,"Barron County","Wisconsin",35,46797,0.07
72075,"Juana Díaz Municipio","Puerto Rico",0,46156,0
48191,"Hall County","Texas",0,2820,0
48211,"Hemphill County","Texas",0,3234,0
48263,"Kent County","Texas",20,734,2.72
06037,"Los Angeles County","California",147489,9808667,1.5
02100,"Haines Borough","Alaska",37,2086,1.77
20175,"Seward County","Kansas",46,21486,0.21
26019,"Benzie County","Michigan",38,18310,0.21
37157,"Rockingham County","North Carolina",203,92131,0.22
39039,"Defiance County","Ohio",26,38343,0.07
48111,"Dallam County","Texas",0,7298,0
13005,"Bacon County","Georgia",0,11109,0
18021,"Clay County","Indiana",0,26409,0
19099,"Jasper County","Iowa",53,37954,0.14
21001,"Adair County","Kentucky",0,19089,0
26123,"Newaygo County","Michigan",41,50792,0.08
19177,"Van Buren County","Iowa",0,7241,0
29083,"Henry County","Missouri",106,22328,0.47
20067,"Grant County","Kansas",0,7229,0
39037,"Darke County","Ohio",18,51594,0.03
46035,"Davison County","South Dakota",1,19952,0.01
48019,"Bandera County","Texas",56,22021,0.25
31075,"Grant County","Nebraska",0,626,0
51540,"Charlottesville city","Virginia",115,45437,0.25
38075,"Renville County","North Dakota",0,2304,0
48109,"Culberson County","Texas",0,2195,0
01003,"Baldwin County","Alabama",377,246989,0.15
32003,"Clark County","Nevada",29008,2329548,1.25
12033,"Escambia County","Florida",1370,325923,0.42
12091,"Okaloosa County","Florida",855,216599,0.39
24011,"Caroline County","Maryland",59,33669,0.18
42001,"Adams County","Pennsylvania",42,106115,0.04
46099,"Minnehaha County","South Dakota",672,203289,0.33
13307,"Webster County","Georgia",0,2381,0
18049,"Fulton County","Indiana",0,20312,0
20145,"Pawnee County","Kansas",0,6144,0
26009,"Antrim County","Michigan",0,24127,0
27065,"Kanabec County","Minnesota",19,16390,0.12
31151,"Saline County","Nebraska",9,14650,0.06
31001,"Adams County","Nebraska",50,31052,0.16
39147,"Seneca County","Ohio",84,54770,0.15
46007,"Bennett County","South Dakota",0,3345,0
46025,"Clark County","South Dakota",0,3917,0
31035,"Clay County","Nebraska",0,6095,0
48227,"Howard County","Texas",5,32290,0.02
48285,"Lavaca County","Texas",65,20552,0.32
55045,"Green County","Wisconsin",104,37017,0.28
48507,"Zavala County","Texas",0,9412,0
20081,"Haskell County","Kansas",0,3641,0
20135,"Ness County","Kansas",1,2653,0.04
20109,"Logan County","Kansas",0,2707,0
31113,"Logan County","Nebraska",0,773,0
01031,"Coffee County","Alabama",236,54920,0.43
06031,"Kings County","California",705,153298,0.46
27017,"Carlton County","Minnesota",68,36518,0.19
38021,"Dickey County","North Dakota",0,4935,0
02050,"Bethel Census Area","Alaska",0,18394,0
13261,"Sumter County","Georgia",90,29061,0.31
13165,"Jenkins County","Georgia",0,8711,0
19083,"Hardin County","Iowa",1,16639,0.01
19093,"Ida County","Iowa",3,6911,0.04
20203,"Wichita County","Kansas",0,2091,0
27005,"Becker County","Minnesota",85,35343,0.24
28137,"Tate County","Mississippi",0,28321,0
31081,"Hamilton County","Nebraska",43,9464,0.45
39173,"Wood County","Ohio",84,132064,0.06
46057,"Hamlin County","South Dakota",14,6373,0.22
48441,"Taylor County","Texas",317,145863,0.22
48139,"Ellis County","Texas",119,213160,0.06
51840,"Winchester city","Virginia",46,27913,0.16
55033,"Dunn County","Wisconsin",56,45527,0.12
72019,"Barranquitas Municipio","Puerto Rico",0,29054,0
31171,"Thomas County","Nebraska",0,564,0
04007,"Gila County","Arizona",20,53795,0.04
21117,"Kenton County","Kentucky",320,171288,0.19
23009,"Hancock County","Maine",91,56460,0.16
24043,"Washington County","Maryland",327,155709,0.21
44001,"Bristol County","Rhode Island",78,50490,0.15
51520,"Bristol city","Virginia",0,16849,0
13123,"Gilmer County","Georgia",54,32426,0.17
16065,"Madison County","Idaho",147,54618,0.27
17065,"Hamilton County","Illinois",0,7916,0
20073,"Greenwood County","Kansas",1,5919,0.02
26117,"Montcalm County","Michigan",92,67816,0.14
28071,"Lafayette County","Mississippi",51,58327,0.09
31109,"Lancaster County","Nebraska",674,326696,0.21
36123,"Yates County","New York",9,24526,0.04
39047,"Fayette County","Ohio",120,28876,0.42
41023,"Grant County","Oregon",11,7209,0.15
48309,"McLennan County","Texas",261,266067,0.1
48367,"Parker County","Texas",119,165168,0.07
29215,"Texas County","Missouri",44,25161,0.17
72091,"Manatí Municipio","Puerto Rico",0,38943,0
48271,"Kinney County","Texas",0,3157,0
31163,"Sherman County","Nebraska",0,2967,0
13213,"Murray County","Georgia",0,40562,0
16049,"Idaho County","Idaho",34,17432,0.2
28093,"Marshall County","Mississippi",0,33979,0
38009,"Bottineau County","North Dakota",11,6378,0.17
08065,"Lake County","Colorado",9,7380,0.12
17199,"Williamson County","Illinois",25,66876,0.04
19127,"Marshall County","Iowa",22,40114,0.05
19065,"Fayette County","Iowa",32,19288,0.17
26077,"Kalamazoo County","Michigan",403,262375,0.15
29123,"Madison County","Missouri",13,12729,0.1
31111,"Lincoln County","Nebraska",121,33802,0.36
20187,"Stanton County","Kansas",0,2038,0
39023,"Clark County","Ohio",242,135158,0.18
45023,"Chester County","South Carolina",18,32182,0.06
48463,"Uvalde County","Texas",20,24881,0.08
28079,"Leake County","Mississippi",0,21319,0
72077,"Juncos Municipio","Puerto Rico",0,36829,0
38041,"Hettinger County","North Dakota",0,2432,0
51685,"Manassas Park city","Virginia",64,16798,0.38
13125,"Glascock County","Georgia",0,2932,0
30051,"Liberty County","Montana",0,1952,0
29510,"St. Louis city","Missouri",688,288512,0.24
08001,"Adams County","Colorado",2375,530225,0.45
12111,"St. Lucie County","Florida",512,360500,0.14
53033,"King County","Washington",44861,2287171,1.96
02230,"Skagway Municipality","Alaska",59,1244,4.74
13113,"Fayette County","Georgia",1187,122244,0.97
18065,"Henry County","Indiana",29,48970,0.06
20047,"Edwards County","Kansas",0,2779,0
17045,"Edgar County","Illinois",73,16535,0.44
28101,"Newton County","Mississippi",63,21093,0.3
20069,"Gray County","Kansas",0,5701,0
38081,"Sargent County","North Dakota",0,3804,0
39073,"Hocking County","Ohio",0,27799,0
48207,"Haskell County","Texas",1,5421,0.02
48081,"Coke County","Texas",0,3353,0
48125,"Dickens County","Texas",0,1747,0
48089,"Colorado County","Texas",133,21006,0.63
72057,"Guayama Municipio","Puerto Rico",0,35298,0
46073,"Jerauld County","South Dakota",1,1772,0.06
54105,"Wirt County","West Virginia",0,5053,0
35011,"De Baca County","New Mexico",0,1576,0
20059,"Franklin County","Kansas",41,26106,0.16
38065,"Oliver County","North Dakota",0,1839,0
19159,"Ringgold County","Iowa",0,4645,0
17117,"Macoupin County","Illinois",18,44350,0.04
17123,"Marshall County","Illinois",1,11647,0.01
19179,"Wapello County","Iowa",39,35362,0.11
19187,"Webster County","Iowa",5,36886,0.01
19003,"Adams County","Iowa",0,3622,0
17155,"Putnam County","Illinois",5,5601,0.09
17159,"Richland County","Illinois",0,15598,0
19019,"Buchanan County","Iowa",12,20694,0.06
