geoid,name,state,japanese_pop,total_pop,japanese_pct
06077005127,"San Joaquin County (51.27)","California",15,7077,0.21
06077003406,"San Joaquin County (34.06)","California",0,3392,0
06077004402,"San Joaquin County (44.02)","California",0,6069,0
06077005108,"San Joaquin County (51.08)","California",21,5273,0.4
06077000401,"San Joaquin County (4.01)","California",21,2778,0.76
06077003310,"San Joaquin County (33.10)","California",10,4356,0.23
37037020600,"Chatham County (206)","North Carolina",4,4631,0.09
37105030102,"Lee County (301.02)","North Carolina",0,5857,0
37165010101,"Scotland County (101.01)","North Carolina",0,3063,0
02050000300,"Bethel Census Area (3)","Alaska",0,1290,0
02020000801,"Anchorage Municipality (8.01)","Alaska",44,7338,0.6
02020001100,"Anchorage Municipality (11)","Alaska",0,953,0
02020001701,"Anchorage Municipality (17.01)","Alaska",17,6230,0.27
02020002000,"Anchorage Municipality (20)","Alaska",0,3509,0
02020002400,"Anchorage Municipality (24)","Alaska",29,2915,0.99
02020002900,"Anchorage Municipality (29)","Alaska",0,2417,0
02070000100,"Dillingham Census Area (1)","Alaska",0,2551,0
12031016400,"Duval County (164)","Florida",2,5770,0.03
12031000200,"Duval County (2)","Florida",0,2578,0
12031010900,"Duval County (109)","Florida",0,3920,0
12031014328,"Duval County (143.28)","Florida",0,7206,0
12031015200,"Duval County (152)","Florida",0,3219,0
39125960400,"Paulding County (9604)","Ohio",0,3801,0
29047021101,"Clay County (211.01)","Missouri",35,3961,0.88
29165030002,"Platte County (300.02)","Missouri",0,3916,0
15003008702,"Honolulu County (87.02)","Hawaii",689,5305,12.99
15003002003,"Honolulu County (20.03)","Hawaii",287,1799,15.95
15003006900,"Honolulu County (69)","Hawaii",25,4844,0.52
15003006301,"Honolulu County (63.01)","Hawaii",956,3797,25.18
15003010901,"Honolulu County (109.01)","Hawaii",350,3178,11.01
15003001400,"Honolulu County (14)","Hawaii",1243,2807,44.28
13071970800,"Colquitt County (9708)","Georgia",0,3361,0
13185010401,"Lowndes County (104.01)","Georgia",0,1353,0
12003040102,"Baker County (401.02)","Florida",0,8055,0
12047960300,"Hamilton County (9603)","Florida",0,2164,0
39171950600,"Williams County (9506)","Ohio",0,4946,0
02198940100,"Prince of Wales-Hyder Census Area (9401)","Alaska",0,1334,0
20009971700,"Barton County (9717)","Kansas",0,2380,0
20009971300,"Barton County (9713)","Kansas",0,3068,0
18035000500,"Delaware County (5)","Indiana",0,3672,0
20209044001,"Wyandotte County (440.01)","Kansas",0,2830,0
20209041600,"Wyandotte County (416)","Kansas",0,3824,0
20209042600,"Wyandotte County (426)","Kansas",0,2605,0
20209044302,"Wyandotte County (443.02)","Kansas",1,2009,0.05
22109000800,"Terrebonne Parish (8)","Louisiana",0,5616,0
26063950900,"Huron County (9509)","Michigan",0,3489,0
02195000200,"Petersburg Borough (2)","Alaska",128,3409,3.75
18001030600,"Adams County (306)","Indiana",0,3276,0
20103070700,"Leavenworth County (707)","Kansas",17,4864,0.35
22033004900,"East Baton Rouge Parish (49)","Louisiana",0,4550,0
22033001103,"East Baton Rouge Parish (11.03)","Louisiana",0,3647,0
22033000900,"East Baton Rouge Parish (9)","Louisiana",0,3386,0
26007000500,"Alpena County (5)","Michigan",0,2027,0
26091060800,"Lenawee County (608)","Michigan",0,3287,0
26125160900,"Oakland County (1609)","Michigan",0,4575,0
26125196600,"Oakland County (1966)","Michigan",19,2682,0.71
26125145502,"Oakland County (1455.02)","Michigan",0,3841,0
26125130500,"Oakland County (1305)","Michigan",16,2986,0.54
26125170400,"Oakland County (1704)","Michigan",27,3642,0.74
26125152900,"Oakland County (1529)","Michigan",0,5110,0
26125180200,"Oakland County (1802)","Michigan",41,3549,1.16
26125166600,"Oakland County (1666)","Michigan",0,3310,0
